codloc,nombre,departamento
17321,DOLORES,SORIANO
17521,CARDONA,SORIANO
17621,JOSE ENRIQUE RODO,SORIANO
17622,PALMITAS,SORIANO
17623,VILLA SORIANO,SORIANO
17624,PALMAR,SORIANO
17721,EGAÑA,SORIANO
17722,SANTA CATALINA,SORIANO
17798,AGRACIADA,SORIANO
17822,CASTILLOS,SORIANO
17823,RISSO,SORIANO
17824,SACACHISPAS,SORIANO
17825,CAÑADA NIETO,SORIANO
17927,CUCHILLA DEL PERDIDO,SORIANO
17928,EL TALA,SORIANO
17930,LA CONCORDIA,SORIANO
17931,LA LOMA,SORIANO
17939,PALO SOLO,SORIANO
17950,CHACRAS DE DOLORES,SORIANO
17951,COLONIA CONCORDIA,SORIANO
17952,PERSEVERANO,SORIANO
17993,LARES,SORIANO
18321,PASO DE LOS TOROS,TACUAREMBO
18521,SAN GREGORIO DE POLANCO,TACUAREMBO
18695,TAMBORES,TACUAREMBO
18721,ACHAR,TACUAREMBO
18722,ANSINA,TACUAREMBO
18723,CURTINA,TACUAREMBO
18724,PASO DEL CERRO,TACUAREMBO
18822,CLARA,TACUAREMBO
18825,CUCHILLA DEL OMBU,TACUAREMBO
18827,LA HILERA,TACUAREMBO
18828,LAS TOSCAS,TACUAREMBO
18829,PASO BONILLA,TACUAREMBO
18830,PUEBLO DE ARRIBA,TACUAREMBO
18831,PUEBLO DEL BARRO,TACUAREMBO
18833,RINCON DEL BONETE,TACUAREMBO
18894,PIEDRA SOLA,TACUAREMBO
18925,CARDOZO,TACUAREMBO
18928,CHAMBERLAIN,TACUAREMBO
18931,CUCHILLA DE PERALTA,TACUAREMBO
18952,LAURELES,TACUAREMBO
18963,MONTEVIDEO CHICO,TACUAREMBO
18980,SAUCE DE BATOVI,TACUAREMBO
18990,PUNTAS DE CINCO SAUCES,TACUAREMBO
18991,RINCON DE PEREIRA,TACUAREMBO
18992,PUNTA DE CARRETERA,TACUAREMBO
18993,CRUZ DE LOS CAMINOS,TACUAREMBO
19220,TREINTA Y TRES,TREINTA Y TRES
19521,SANTA CLARA DE OLIMAR,TREINTA Y TRES
19522,VERGARA,TREINTA Y TRES
19721,ARROZAL TREINTA Y TRES,TREINTA Y TRES
19722,GRAL. ENRIQUE MARTINEZ,TREINTA Y TRES
19723,VILLA SARA,TREINTA Y TRES
19790,CERRO CHATO,TREINTA Y TRES
19821,ESTACION RINCON,TREINTA Y TRES
19822,ISLA PATRULLA (MARIA ISABEL),TREINTA Y TRES
19896,VALENTINES,TREINTA Y TRES
19922,POBLADO ALONZO,TREINTA Y TRES
19924,ARROCERA RINCON,TREINTA Y TRES
19940,ARROCERA LOS CEIBOS,TREINTA Y TRES
19941,MARIA ALBINA,TREINTA Y TRES
19942,MENDIZABAL (EL ORO),TREINTA Y TRES
19947,PUNTAS DEL PARAO,TREINTA Y TRES
19955,VILLA PASSANO,TREINTA Y TRES
19956,EJIDO DE TREINTA Y TRES,TREINTA Y TRES
19960,EL BELLACO,TREINTA Y TRES
19961,ARROCERA LOS TEROS,TREINTA Y TRES
19962,ARROCERA BONOMO,TREINTA Y TRES
19963,ARROCERA EL TIGRE,TREINTA Y TRES
19964,ARROCERA LA CATUMBERA,TREINTA Y TRES
19965,ARROCERA LA QUERENCIA,TREINTA Y TRES
19966,ARROCERA LAS PALMAS,TREINTA Y TRES
19967,ARROCERA MINI,TREINTA Y TRES
19968,ARROCERA PROCIPA,TREINTA Y TRES
19969,ARROCERA SAN FERNANDO,TREINTA Y TRES
19970,ARROCERA SANTA FE,TREINTA Y TRES
19971,ARROCERA ZAPATA,TREINTA Y TRES
18220,TACUAREMBO,TACUAREMBO
18834,BALNEARIO IPORA,TACUAREMBO
18937,LA PEDRERA,TACUAREMBO
18971,CERRO DE PASTOREO,TACUAREMBO
4949,LAGO MERIN,CERRO LARGO
15120,SALTO,SALTO
6724,SANTA BERNARDINA,DURAZNO
4827,PLACIDO ROSAS,CERRO LARGO
8991,ILLESCAS,FLORIDA
14953,PUERTO DE LOS BOTES,ROCHA
1020,MONTEVIDEO,MONTEVIDEO
